,Pos,Equipo,PJ,G,E,P,GF,GC,DG,Pts,F1,F2,F3,F4,F5
0,1,FC Barcelona,29,24,1,4,78,28,+50,73,W,W,W,W,W
1,2,Real Madrid,29,22,3,4,63,26,+37,69,L,L,W,W,W
2,3,Villarreal,29,18,4,7,54,34,+20,58,W,L,W,D,W
3,4,Atlético Madrid,29,17,6,6,49,28,+21,57,W,W,W,W,L
4,5,Real Betis,29,11,11,7,44,37,+7,44,D,D,L,D,L
5,6,Celta de Vigo,29,10,11,8,41,35,+6,41,W,W,L,D,L
6,7,Real Sociedad,29,10,8,11,44,45,-1,38,D,W,L,W,L
7,8,Getafe,29,11,5,13,25,31,-6,38,L,W,W,L,W
8,9,Athletic Club,29,11,5,13,32,41,-9,38,W,D,L,L,W
9,10,Osasuna,29,10,7,12,34,35,-1,37,W,L,D,L,W
10,11,Espanyol,29,10,7,12,36,44,-8,37,L,D,D,L,L
11,12,Valencia,29,9,8,12,32,42,-10,35,L,W,W,L,W
12,13,Girona,29,8,10,11,31,44,-13,34,D,L,D,W,L
13,14,Rayo Vallecano,29,7,11,11,28,35,-7,32,D,W,D,D,L
14,15,Deportivo Alavés,29,8,7,14,30,41,-11,31,D,L,L,D,W
15,16,Sevilla,29,8,7,14,37,49,-12,31,W,D,D,L,L
16,17,Elche,29,6,11,12,38,46,-8,29,L,D,L,L,W
17,18,Mallorca,29,7,7,15,34,47,-13,28,L,L,D,W,L
18,19,Levante,29,6,8,15,34,48,-14,26,L,W,D,D,W
19,20,Real Oviedo,29,4,9,16,20,48,-28,21,L,L,D,W,L
